lem,derivitive,valid
حدث,حَدَث,بله
تاشیدن,تاشانیدن,بله
پلدختر,پلدختر,بله
کاوه,کاوه‌ساز,بله
مشورت,مشورت‌پذیر,بله.
بار,بارنامه,بله
ارمغان,ارمغان‌ورز,بله
سپنتا,سپنتین,بله.
خلق,مخلوق,بله
شرک,شرک‌گرایی,بله
مشیز,مشیز,بله
ساخت,سازندگی,بله
بدیع,بدیعانه,بله
ریخت,ریخته,بله
کیهان,کیهان‌زایی,بله
یاسوج,یاسوجی‌نشین,بله
بهار,بهارکده,بله
هنگ,هنگ‌زده,خیر.
رشت,رشتوران,خیر.
غذاء,مغذی,بله
بیژن,بیژن‌پرست,بله
چکاد,چکادساز,بله
عرص,عریضه,خیر
پلیمر,پلیمرهای,تکراری
روشن,روشن‌چشم,بله
افروز,افروزگار,بله
کاووس,کاووس‌کده,نمیدانم.
قشم,قشمی‌نشین,بله
" پلاست",پلاستیک‌پوشان,بله
ایران,ایران‌ساز,بله
سفیر,سفیرگری,بله
مداری,مداریابی,بله
راضی,رضوان,تکراری
شیمی,شیمی‌فیزیک,بله
توس,توسی,بله
نگین,نگین‌دار,بله
تاشیدن,تاشیدگی,بله
مدد,مددکار,بله
بیت,بیوت,بله
مشاوره,مشاور,بله
پاینده,پایند,خیر
صبیه,صبیه‌نما,بله
نخل,نخل‌کنی,بله
چکاد,چکادپروری,خیر
درنا,درناییدگی‌ها,بله
پترا,پتراپژوه,بله
سیاحت,سیاحی‌گری,بله
بیجار,بیجارک,خیر.
ساوه,سازنده,تکراری
عدل,عدل‌خواه,بله
کاظم,کاظم‌لو,خیر
امنیت,امنیت‌زا,بله
نظام,نظام,بله
تیس,تیس,تکراری
فولاد,فولادین,تکراری
نیک,نیکنام,بله
رستوران,رستوران,بله
نطنز,نطنزساز,بله
عجب,عجب,بله
اسفراین,اسفراینی‌تاریخ,بله
برتر,برتری,بله
افران,افراگ,تکراری
کاشی,کاشی,بله
خط,خطا,بله
قطره,قطره‌گیر,بله
دیزل,دیزل‌کار,بله
بازیافتن,بازیافت,تکراری
سیویل,سیویل‌ساز,بله
ارگ,ارگانیسم‌محور,بله
زنگ,زنگ,تکراری
زاویه,زاویه‌سنجی,تکراری
مسیر,مسیرسنجی,بله
نطنز,نطنزچی,بله
افشاندن,افشاندن‌پذیری,بله
فضا,فضای,خیر
آناهیتا,آناهیتاگرایی,بله.
عدد,عددسنجی,بله
میراث,میراثی,بله
جوید,جویدگی‌های,بله
فطر,فطرکننده,بله
کشور,کشورگشایی,خیر
یول,یولک,بله
زنبور,زنبورک,بله
گل,گلخند,بله
فراز,فرازین,بله
ارد,اردن,خیر.
استان,استان‌ساز,بله
وحدت,وحدت‌گرایی,تکراری
طوبی,طوبی‌خیز,بله
آنیل,آنیل‌پوشان,بله.
مداری,مداری,بله
تجهیز,تجهیض,بله
شقایق,شقایق‌گون,بله
پرورش,پرورشی,تکراری
پوشش,پوشیده,بله
سرج,سراج,خیر.
وابستگی,وابستگی‌پذیر,بله
یاشار,یاشاروار,بله
سمن,سمن‌زاری,بله
آیه,آیات,بله
وفا,وفا,تکراری
ماندگار,ماندگار,تکراری
ایتوک,ایتوک‌گرا,خیر.
اوری,اوریول,بله.
پیک,پیکرنگی,تکراری
خوارزم,خوارزمی‌گر,بله
فرزین,فرزینوار,بله
قیر,قیر,تکراری
پلدختر,پلدختری‌اش,بله
کشتن,کشتن,بله
هتل,هتل‌سازی,خیر
ناب,ناب,بله
سحاب,سحاب‌نما,بله
سنت,سنت‌پژوهی,بله
کویر,کویرنگاری,بله
حل,حل,بله
لرد,لردگان,خیر
میثم,میثمی‌زاده,بله
پامچال,پامچال‌پرور,بله
گیاه,گیاه‌پژوهی,بله
قرض,مقرضی,بله
رشاد,رشادت,تکراری
قالب,قالب‌گیری,بله
نصر,منصور,تکراری
" اکسیر",اکسیرمحور,بله
اوجان,اوج‌گیری,تکراری
آرون,آرون‌پرست,خیر.
تویسرکان,تویسرکان,بله
عشا,عشیب,بله
نیایش,نیایشگر,تکراری
داخل,داخل,تکراری
بتن,بتن‌پاش,بله
ناب,نابجا,خیر
باران,باران,تکراری
خیام,خیام‌محور,بله
فوتبال,فوتبال‌زده,بله
کبیر,کبیرترین,بله
سیوان,سیوانی‌زاده,بله.
سبلان,سبزچشم,تکراری
علم,عالمین,بله
رامهرمز,رامهرمز,بله
طبر,طبره‌ساز,بله
مشاوره,مشاوره‌پذیر,تکراری
سالار,سالارک,بله
ساباط,ساباط,بله
نوید,نویدبخش,بله
امن,بی‌امن,بله
بهمن,بهمن‌زاد,بله
بردسک,بردسک‌گر,بله
رویال,رویالتیست,بله
بلوط,بلوط,بله
زر,زریر,بله
افشار,افشارک,بله
فردوس,فردوس‌نما,بله
چشم,چشم‌پوش,بله
کان,کنشمند,خیر.
پل,پلی,خیر
مرد,مردمی,بله
تراز,تراز,تکراری
موکت,موکت‌دار,بله
آستان,آستانه‌محور,بله
ایلیا,ایلیاد,بله.
زین,زینت‌بخش,بله
حد,حدس‌زدن,بله
بتن,بتن‌مستحکم,بله
افزایش,افزایشی,بله
مدیا,مدیاسازی,بله
هست,هستی‌شناسی,بله
سهیل,سهیلان,بله
سبا,سبا,بله
کثرت,کثرت‌پذیری,بله
زهراء,زهره‌ساز,تکراری
پیمان,پیمان‌دار,بله
خاصیت,خاصیت‌سنجی,بله
قائم,قیام‌نامه,بله
" پلاست",پلاستیک,بله
موج,موج‌زن,بله.
شیشه,شیشۀ‌ساز,بله
دیار,دیاروند,بله
حکم,حکمی,بله
رسم,رسم‌گر,خیر
آب,آباده,بله
قرض,قرض‌دادن,بله
کلثوم,کلثوم‌گونه,بله
آیدین,آیدینی,بله.
بخش,بخشیدنی,بله
سدی,سدیگری,خیر.
کود,کدوتن,خیر
اردل,اردلگری,خیر
مسیر,مسیرپیمایی,بله
" حسن",حسن‌نیت,تکراری
قند,قند,تکراری
تلاش,تلاش‌جو,بله
شعبه,شعبه‌نگاری,بله
شایگی,شایسته‌نوازی,خیر
بانو,بانوگری,بله.
رز,رزیور,بله.
مجتبی,مجتبی‌مدار,بله
بهداشت,بهداشت,بله
سفیر,سفیرشده,بله
آرسام,آرسامیز,بله
توکان,توکان‌نما,بله
آراد,آرادپرست,بله
پند,پندوار,بله
طبخ,آشپزی,بله
البرز,البرزین,خیر.
روند,روند,بله
تخصص,تخصص‌سنجی,بله
اسپادان,اسپادانید,بله
لنج,لنجی,خیر.
زابل,زابل‌پرست,بله
عرش,عرش‌ساز,بله
پارت,پارتیتور,بله
حکمت,حکیم,بله
وانت,وانت‌نشین,بله
عکس,عکس‌العمل,خیر.
سوشی,سوشی‌دوست,بله
معاون,معاونت‌پذیر,بله
طبیعت,طبیعت‌زدا,بله
باغ,باغداران,بله
سپاس,سپاسنامه,بله
پژمان,پژمانشناس,خیر
عقیق,عقیق‌چینی,بله
یاسوج,یاسوجی‌مآب,بله
وقف,وقفه,خیر
پوشیدن,پوشاک,بله
تربیت,تربیت‌شده,بله
ولی,ولایتی‌محور,بله.
کاشی,کاشی‌نما,بله
کارگزار,کارگزارانگی,بله
ولیعصر,عصر,خیر
کران,کرانه,بله
عموم,عموم‌پذیر,بله
اذین,اذان‌نامه,خیر
چهارده,چهارده,تکراری
برودت,برودت‌سنجی,تکراری
سروش,سروش‌سرا,بله
زاویه,زاویه‌پذیر,بله
حیا,حیات,تکراری
باتیس,باتیس,تکراری
سهند,سهندانه,خیر
جاوید,جاودان,بله
محور,محورمند,بله
پاشا,پاشاگرا,بله
ایپک,ایپک‌سرا,خیر
سپردن,بسپار,بله
نوع,نژاد,خیر.
مسیر,مسیرشناسی,خیر
ملک,املاک,بله
کام,کامپذیری,بله
صنعت,وصنعتی,بله
رامین,رامشور,خیر
رسپینا,رسپینی,خیر
نور,نورافکن,بله
رویال,رویالتیسیم,بله
اسپادان,اسپادان,بله
مینو,مینویانه,بله.
ارم,ارمید,بله
بروجرد,بروجرد,بله
نیا,نیایشگر,خیر.
سار,ساریانگی,بله
مژدگانی,مژدگانی‌ساز,بله
صعد,صعودی‌سازی,بله
میان,میانه,تکراری
اروند,اروندی‌مآب,بله
عطر,عطرپاش,بله
سلطان,سلطانی,بله
دقت,دقت‌پذیر,بله
آویدن,آوید,تکراری
فیض,فیض‌محور,بله
آلفا,آلفاچین,خیر.
دوز,دوزی‌کار,بله
چنار,چنار,بله
گلخانه,گلخانه‌جات,بله
تراز,ترازوی,تکراری
راسپینا,راسپینی,خیر.
فرز,فرزند,تکراری
فروردین,فروردین,تکراری
نشان,نشاندهنده,بله
دلفین,دلفین‌وار,بله
کیف,کیفیت,خیر
الوند,الوندیگری,بله
کوار,کواری,بله.
کلار,کلارک‌زاده,بله.
خمین,خمینی‌گرایی,بله.
ترانس,ترانسپورت,خیر
بهشت,بهشت‌پرست,بله
مدرسه,مدرس,بله
وام,وام‌گیرنده,بله
شکستن,شکسته‌فکری,بله
ایران,ایران‌خواه,بله
شار,شارع,خیر
اروین,اروین‌ساز,خیر
نسو,نساختن,خیر
قرب,قربان,تکراری
یاور,یاورپروری,بله
دفتر,دفتر,تکراری
آنیل,آنیل‌پوش,بله
شکوفه,شکوفه‌چین,بله
نگین,نگین‌فروش,بله
ایزد,ایزدان,بله.
صد,صداینده,بله.
فرز,فرزین,تکراری
آموزش,آموزی,خیر
کوشش,کوشاکی,خیر.
گهر,گهربا,بله
فرداد,فرداوند,تکراری
فرز,فرزانه‌گی,تکراری
یوتاب,یوتابانه,بله
گام,گام‌پیش,بله
پتروشیمی,پتروشیمی‌پایه,بله
غلام,غلامرضا,بله
پروین,پروین‌پرست,بله
مهارت,مهارت‌گرا,بله
علو,علوف,بله
سپند,سپندمهر,بله
زاویه,زاویه‌دار,بله
ماهی,ماهی‌فروشی,بله
اسد,اسدک,بله
تفت,تفتانک,بله
آرتیمان,آرتیمان‌گونه,خیر.
خان,خانمک,بله
سوله,سوله‌گستر,بله
گیل,گیل‌مرد,بله
نهاوند,نهاوندی‌نگار,بله
طوفان,طوفانی,خیر
هوا,هواپیمایی,بله
بیان,بیان,تکراری
رفع,مرفوعات,بله
برلین,برلین‌محور,خیر
روئین,روئین‌پیکر,بله
میبد,میبدی‌ساز,بله
ارس,ارسنج,خیر
نشر,منتشر,بله
هدایت,هدایت‌محور,بله
حامی,حمایت‌طلب,بله
درون,درون‌پنداری,بله.
جو,جود,خیر.
شیوا,شیواپنداری,بله.
بردن,بَرَدنی,بله
بهمن,بهمن‌نژاد,بله
درنیک,درنیکا,خیر.
زعفر,زعفران‌کار,بله
پیشرفت,پیشرفت,تکراری
خلط,خلطی,بله
ثبات,ثبات‌سنج,بله
بدل,بدل‌ساز,بله
سجد,سجدگاه,بله
صغر,صغیرشناسی,بله
خراسان,خراسان,بله
لاستیک,لاستیک‌سازی,تکراری
طراوت,طراوت‌ساز,بله
اعتماد,معتمد,بله
